"lemma","présent","passécomposé","futur","subjonctif"
"sourire","je souris ","j’ai souri","je sourirai","que je sourie, que nous souriions"
"savoir","je sais, nous savons","j’ai su","je saurai","que je sache, que nous sachions"
"sentir","je sens, nous sentons","j`ai senti","je sentirai","que je sente"
"consentir","je consens, nous consentons","j`ai consenti","je consentirai","que je consente"
"pressentir","je pressens, nous pressentons","j`ai pressenti","je pressentirai","que je pressente"
"ressentir","je ressens, nous ressentons","j`ai ressenti","je ressentirai","que je ressente"
"mentir","je mens, nous mentons","j`ai menti","je mentirai","que je mente"
"démentir","je démens, nous démentons","j`ai démenti","je démentirai","que je démente"
"partir","je pars, nous partons","je suis parti","je partirai","que je parte"
"départir","je dépars, nous départons","j`ai départi","je départirai","que je départe"
"repartir","je repars, nous repartons","je suis reparti","je repartirai","que je reparte"
"se repentir","je me repens, nous nous repentons","je me suis repenti","je me repentirai","que je me repente"
"sortir","je sors, nous sortons","je suis sorti","je sortirai","que je sorte"
"ressortir","je ressors/ je ressortis, nous ressortons/nous ressortissons","j`ai ressorti/je suis ressorti","je ressortirai","que je ressorte/que je ressortisse"
"seoir","je sieds, nous seyons","j`ai sis","je siérai","que je siée, que nous seyions"
"messeoir","je messieds, nous messeyons","j`ai messis","je messiérai","que je messiée, que nous messeyions"
"servir","je sers, nous servons","j`ai servi","je servirai","que je serve"
"desservir","je dessers, nous desservons","j`ai desservi","je desservirai","que je desserve"
"resservir","je ressers, nous resservons","j`ai resservi","je resservirai","que je resserve"
"suivre","je suis, nous suivons","j`ai suivi","je suivrai","que je suive"
"s’ensuivre","il s'ensuit","il s'est ensuivi","il s'ensuivra","qu`il s'ensuive"
"poursuivre","je poursuis, nous poursuivons","j`ai poursuivi","je poursuivrai","que je poursuive"
"surseoir","je sursois, nous sursoyons","j`ai sursis","je surseoirai","que je sursoie, que nous sursoyions"
"tenir","je tiens, nous tenons","j`ai tenu","je tiendrai","que je tienne"
"s’abstenir","je m`abstiens, nous nous abstenons","je me suis abstenu","j`abstiendrai","que j`abstienne"
"appartenir","j`appartiens, nous appartenons","j`ai appartenu","j`appartiendrai","que j`appartienne"
"contenir","je contiens, nous contenons","j`ai contenu","je contiendrai","que je contienne"
"détenir","je détiens, nous détenons","j`ai détenu","je détiendrai","que je détienne"
"entretenir","j`entretiens, nous entretenons","j`ai entretenu","j`entretiendrai","que j`entretienne"
"maintenir","je maintiens, nous maintenons","j`ai maintenu","je maintiendrai","que je maintienne"
"obtenir","j`obtiens, nous obtenons","j`ai obtenu","j`obtiendrai","que j`obtienne"
"retenir","je retiens, nous retenons","j`ai retenu","je retiendrai","que je retienne"
"soutenir","je soutiens, nous soutenons","j`ai soutenu","je soutiendrai","que je soutienne"
"venir","je viens, nous venons","je suis venu","je viendrai","que je vienne, que nous venions"
"advenir","il advient","il est advenu","il adviendra","qu`il advienne"
"circonvenir","je circonviens, nous circonvenons","j`ai circonvenu","je circonviendrai","que je circonvienne, que nous circonvenions"
"contrevenir","je contreviens, nous contrevenons","j`ai contrevenu","je contreviendrai","que je contrevienne, que nous contrevenions"
"convenir","je conviens, nous convenons","j`ai convenu","je conviendrai","que je convienne, que nous convenions"
"devenir","je deviens, nous devenons","je suis devenu","je deviendrai","que je devienne, que nous devenions"
"disconvenir","je disviens, nous disvenons","j`ai disvenu","je disviendrai","que je disvienne, que nous disvenions"
"intervenir","je interviens, nous intervenons","je suis intervenu","je interviendrai","que je intervienne, que nous intervenions"
"obvenir","je obviens, nous obvenons","j`ai obvenu","j`obviendrai","que j`obvienne, que nous obvenions"
"parvenir","je parviens, nous parvenons","je suis parvenu","je parviendrai","que je parvienne, que nous parvenions"
"prévenir","je préviens, nous prévenons","j`ai prévenu","je préviendrai","que je prévienne, que nous prévenions"
"provenir","je proviens, nous provenons","je suis provenu","je proviendrai","que je provienne, que nous provenions"
"redevenir","je redeviens, nous redevenons","je suis redevenu","je redeviendrai","que je redevienne, que nous redevenions"
"se ressouvenir","je me ressouviens, nous nous ressouvenons","je me suis ressouvenu","je me ressouviendrai","que je me ressouvienne, que nous nous ressouvenions"
"revenir","je reviens, nous revenons","je suis revenu","je reviendrai","que je revienne, que nous revenions"
"se souvenir","je me souviens, nous nous souvenons","je me suis souvenu","je me souviendrai","que je me souvienne, que nous nous souvenions"
"subvenir","je subviens, nous subvenons","j`ai subvenu","je subviendrai","que je subvienne, que nous subvenions"
"survenir","je surviens, nous survenons","je suis survenu","je surviendrai","que je survienne, que nous survenions"
"traire","je trais, nous trayons","j`ai trait","je trairai","que je traie, que nous trayions"
"abstraire","j`abstrais, nous abstrayons","j`ai abstrait","j`abstrairai","que j`abstraie, que nous abstrayions"
"distraire","je distrais, nous distrayons","j`ai distrait","je distrairai","que je distraie, que nous distrayions"
